,,,,MSE,MAE
10,20,10,1,0.20891,0.787736
300,20,15,8,0.208996,0.787648
200,None,20,8,0.209009,0.787635
200,40,20,8,0.209072,0.787571
100,40,5,8,0.209123,0.787519
100,20,10,8,0.20922,0.787421
300,30,20,8,0.209225,0.787416
10,None,5,4,0.209294,0.787346
50,40,20,8,0.209309,0.78733
50,50,10,8,0.20931,0.787329
300,20,20,8,0.209325,0.787314
300,40,15,8,0.209363,0.787276
100,None,20,8,0.209392,0.787246
100,40,15,8,0.209432,0.787206
50,20,5,8,0.209447,0.78719
50,20,2,8,0.209476,0.787161
100,40,20,8,0.209478,0.787158
100,20,2,8,0.209491,0.787145
300,None,20,8,0.209566,0.787069
10,50,10,2,0.209613,0.787021
100,30,15,8,0.209669,0.786964
50,20,15,8,0.209728,0.786904
300,20,10,8,0.209744,0.786888
200,30,20,8,0.209765,0.786867
200,20,20,8,0.209769,0.786863
300,50,20,8,0.209782,0.786849
10,None,10,8,0.20981,0.786821
50,30,15,8,0.209851,0.786779
200,20,10,8,0.20986,0.786771
100,None,5,8,0.210023,0.786605
100,20,20,8,0.210071,0.786556
50,None,2,8,0.210072,0.786555
200,30,10,8,0.210076,0.786551
100,None,15,8,0.210159,0.786466
50,40,5,8,0.210211,0.786414
300,40,20,8,0.210251,0.786373
100,None,10,8,0.210308,0.786315
10,20,10,4,0.210495,0.786125
200,50,20,8,0.210522,0.786097
50,40,2,8,0.2107,0.785917
10,20,5,4,0.210821,0.785794
50,30,20,8,0.210858,0.785757
10,40,10,1,0.210942,0.785671
10,40,5,2,0.210998,0.785614
10,None,10,2,0.211008,0.785604
100,40,10,8,0.211024,0.785588
10,30,5,4,0.211114,0.785496
50,40,15,8,0.211443,0.785162
10,20,15,1,0.211476,0.785129
50,30,10,8,0.211557,0.785046
50,40,10,8,0.21156,0.785043
10,20,5,2,0.211665,0.784937
100,30,20,8,0.211834,0.784764
10,50,2,8,0.211893,0.784704
10,30,10,2,0.212073,0.784521
10,None,10,4,0.212197,0.784396
50,20,10,8,0.212211,0.784381
50,None,15,8,0.212237,0.784356
100,40,2,8,0.212264,0.784327
50,50,15,8,0.212482,0.784106
50,50,20,8,0.212567,0.784019
10,40,5,4,0.212672,0.783913
10,50,5,4,0.212727,0.783858
10,50,5,2,0.212949,0.783632
10,40,2,4,0.212961,0.783619
10,30,15,4,0.21301,0.783569
10,None,15,4,0.213335,0.78324
10,30,20,4,0.213608,0.782962
10,20,2,2,0.213614,0.782956
10,40,15,8,0.213668,0.782901
10,40,15,1,0.213753,0.782815
50,None,20,8,0.213971,0.782593
10,40,10,2,0.21443,0.782127
10,50,2,2,0.214489,0.782067
10,20,10,2,0.214518,0.782037
10,30,10,4,0.214607,0.781947
10,None,15,2,0.2147,0.781853
10,30,15,8,0.215103,0.781443
10,40,15,2,0.215378,0.781164
10,20,2,4,0.215417,0.781124
10,50,5,1,0.215582,0.780957
10,None,20,8,0.215733,0.780803
10,20,15,2,0.215766,0.78077
10,20,2,1,0.215813,0.780722
10,40,2,2,0.215825,0.780709
10,30,15,2,0.21587,0.780663
10,40,2,1,0.215923,0.78061
10,50,2,4,0.216201,0.780327
10,50,15,1,0.216215,0.780313
10,20,20,4,0.216314,0.780213
10,40,10,8,0.216464,0.780061
10,30,2,8,0.216594,0.779928
10,50,10,4,0.216951,0.779566
10,40,20,2,0.21708,0.779435
10,40,15,4,0.217162,0.779351
10,None,20,2,0.217372,0.779138
10,50,20,8,0.217545,0.778962
10,30,2,2,0.21766,0.778845
10,30,2,1,0.218151,0.778346
10,50,2,1,0.21816,0.778337
10,30,20,1,0.218395,0.778098
10,40,20,8,0.21846,0.778032
10,30,5,8,0.218473,0.778019
10,20,5,8,0.218665,0.777824
10,40,20,4,0.218709,0.777779
10,20,15,4,0.218892,0.777593
10,None,5,1,0.218967,0.777517
10,50,20,4,0.219111,0.777371
10,None,15,8,0.219237,0.777243
10,None,5,2,0.219281,0.777198
10,40,20,1,0.219364,0.777113
10,20,15,8,0.219618,0.776856
10,50,5,8,0.219819,0.776652
10,20,5,1,0.220059,0.776407
10,20,20,1,0.220423,0.776038
10,40,5,8,0.22062,0.775838
10,None,2,4,0.22067,0.775786
10,None,20,1,0.220707,0.775749
10,None,5,8,0.220742,0.775714
10,50,10,8,0.220786,0.775669
10,30,5,1,0.221201,0.775248
10,50,15,8,0.221777,0.774662
10,30,15,1,0.221783,0.774656
10,None,20,4,0.221921,0.774516
10,20,20,8,0.221995,0.77444
10,40,2,8,0.222113,0.77432
